final_rank,candidate_id,mean_score,assessment_score_raw,assessment_signal_scores,assessment_signal_sources,frozen_top100_rank,rank_change_vs_frozen_top100,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
1,CAND_0088025,8.161486,0.36465,llm_finetuning:87.1;vector_hybrid_infrastructure:93.6,llm_finetuning:QLoRA;vector_hybrid_infrastructure:Pinecone,1,0,senior_explicit_ai,fine_atom_01,Staff Machine Learning Engineer,Yellow.ai,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Elasticsearch;Flask;Hugging Face Transformers;LLMs;Learning to Rank;LoRA;MLOps;NLP;Pinecone;Prompt Engineering;Python;QLoRA;RAG;SAP;TensorFlow;YOLO;pgvector,none,
2,CAND_0006567,8.105468,0.420175,embeddings:64.4;llm_finetuning:88.7;python_engineering:89.9;vector_hybrid_infrastructure:63,embeddings:Embeddings;llm_finetuning:Fine-tuning LLMs;python_engineering:scikit-learn;vector_hybrid_infrastructure:Weaviate,3,1,senior_plain_language,fine_atom_05,Senior AI Engineer,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Content Matching;Data Science;Feature Engineering;GANs;Haystack;Kubernetes;Model Adaptation;NLP;Prompt Engineering;Python;Ranking Systems;Recommendation Systems;Search & Discovery;Search Backend;Speech Recognition;Text Encoders;Vector Representations;Workflow Orchestration;scikit-learn,none,
3,CAND_0039754,8.088125,0.323,llm_finetuning:96.5;ml_depth:80.5;vector_hybrid_infrastructure:61.5,llm_finetuning:Fine-tuning LLMs;ml_depth:Kubeflow|NLP;vector_hybrid_infrastructure:Qdrant,2,-1,senior_explicit_ai,fine_atom_01,Senior Applied Scientist,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;CI/CD;Deep Learning;Elasticsearch;Fine-tuning LLMs;Kubeflow;LLMs;LlamaIndex;Machine Learning;NLP;OpenSearch;Python;Qdrant;Reinforcement Learning;Speech Recognition;Statistical Modeling;TensorFlow;Weaviate;pgvector,low,
4,CAND_0086022,8.045224,0.5,ml_depth:79.9;ranking_recommendation_matching:79.3;retrieval_search:92.7;vector_hybrid_infrastructure:92.7,ml_depth:Deep Learning;ranking_recommendation_matching:Recommendation Systems;retrieval_search:Vector Search;vector_hybrid_infrastructure:Vector Search,7,3,senior_explicit_ai,fine_atom_04,Senior Applied Scientist,Sarvam AI,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Databricks;Deep Learning;ETL;Elasticsearch;Embeddings;Fine-tuning LLMs;Kubeflow;LangChain;LoRA;MLflow;NLP;Pinecone;PyTorch;QLoRA;Recommendation Systems;Sentence Transformers;TensorFlow;Vector Search;pgvector,low,
5,CAND_0030468,8.017021,0.5,embeddings:97;ml_depth:97;retrieval_search:80.5,embeddings:Sentence Transformers;ml_depth:Sentence Transformers;retrieval_search:RAG|Semantic Search,10,5,senior_plain_language,fine_atom_05,Senior Applied Scientist,Swiggy,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Computer Vision;Content Matching;Diffusion Models;Information Retrieval Systems;Machine Learning;Milvus;Model Adaptation;OpenSearch;Ranking Systems;Recommendation Systems;Search & Discovery;TensorFlow;Text Encoders,low,
6,CAND_0037980,8.014592,0.328,llm_finetuning:74;retrieval_search:72.2;vector_hybrid_infrastructure:72.2,llm_finetuning:LoRA;retrieval_search:Vector Search;vector_hybrid_infrastructure:Vector Search,4,-2,senior_plain_language,fine_atom_05,Senior Applied Scientist,Niramai,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;Document Processing;Feature Engineering;Haystack;Indexing Algorithms;Information Retrieval Systems;LoRA;Model Adaptation;NLP;OpenCV;Prompt Engineering;PyTorch;QLoRA;Recommendation Systems;Search Infrastructure;TTS;Text Encoders;Weights & Biases;pgvector;scikit-learn,none,
7,CAND_0046525,7.926161,0.38305,ml_depth:86.7;retrieval_search:66.4;vector_hybrid_infrastructure:77.1,ml_depth:Machine Learning;retrieval_search:Information Retrieval;vector_hybrid_infrastructure:Elasticsearch,13,6,senior_explicit_ai,fine_atom_11,Senior Machine Learning Engineer,Genpact AI,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Elasticsearch;Forecasting;Image Classification;Information Retrieval;LLMs;LangChain;LlamaIndex;Machine Learning;NLP;Qdrant;Redux;Sentence Transformers;TTS;TensorFlow;Weights & Biases;YOLO;pgvector,none,
8,CAND_0005538,7.830026,0.209025,embeddings:92.9,embeddings:Embeddings,8,0,senior_plain_language,fine_atom_05,Senior AI Engineer,Adobe,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Apache Flink;Content Matching;Data Science;Deep Learning;Feature Engineering;Haystack;Information Retrieval Systems;LoRA;Natural Language Processing;Project Management;PyTorch;Python;QLoRA;Statistical Modeling;TTS;Vector Representations;Workflow Orchestration;pgvector,none,
9,CAND_0008425,7.805592,0.1602,ranking_recommendation_matching:77.8,ranking_recommendation_matching:Learning to Rank,6,-3,senior_explicit_ai,fine_atom_10,Senior NLP Engineer,Ola,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Haystack;Hugging Face Transformers;Image Classification;Information Retrieval;Learning to Rank;LoRA;NLP;Object Detection;Prompt Engineering;Python;Qdrant;Recommendation Systems;Semantic Search;Sentence Transformers;TensorFlow;Weights & Biases;pgvector,none,
10,CAND_0080766,7.8042,0.21125,vector_hybrid_infrastructure:84.5,vector_hybrid_infrastructure:Weaviate,12,2,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,Salesforce,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Computer Vision;Deep Learning;Elasticsearch;Information Retrieval Systems;LoRA;MLOps;MLflow;Milvus;Natural Language Processing;Open-source ML libraries;OpenSearch;Python;QLoRA;Search & Discovery;Search Backend;Search Infrastructure;Tally;TensorFlow;Vue.js;YOLO,none,
