candidate_id,rank,score,reasoning
CAND_0068811,1,5.851959908,"Applied ML Engineer at Freshworks with 8.0 years; evidence=0.98, semantic=0.56, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0005649,2,5.738280540,"Senior Data Scientist at Sarvam AI with 7.4 years; evidence=0.98, semantic=0.60, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0077337,3,5.726223729,"Staff Machine Learning Engineer at Paytm with 7.0 years; evidence=0.98, semantic=0.51, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0010257,4,5.579495281,"Senior Data Scientist at Google with 6.5 years; evidence=0.95, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0030468,5,5.558506108,"Senior Applied Scientist at Swiggy with 5.4 years; evidence=0.94, semantic=0.44, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0041669,6,5.544326984,"Recommendation Systems Engineer at CRED with 8.0 years; evidence=0.94, semantic=0.62, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0068351,7,5.533696685,"Lead AI Engineer at Sarvam AI with 6.4 years; evidence=0.93, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0008425,8,5.527194427,"Senior NLP Engineer at Ola with 7.8 years; evidence=0.96, semantic=0.48, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0006567,9,5.512872503,"Senior AI Engineer at Meta with 7.9 years; evidence=0.91, semantic=0.60, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0046064,10,5.511724350,"Senior NLP Engineer at Salesforce with 8.9 years; evidence=0.96, semantic=0.49, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0044883,11,5.507256453,"AI Engineer at Mad Street Den with 6.3 years; evidence=0.98, semantic=0.47, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0042029,12,5.505590684,"Senior Data Scientist at Flipkart with 6.5 years; evidence=0.94, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0088025,13,5.500498918,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years; evidence=0.94, semantic=0.53, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0030031,14,5.493414243,"AI Engineer at Microsoft with 5.7 years; evidence=0.95, semantic=0.52, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0039754,15,5.486975193,"Senior Applied Scientist at Meta with 16.2 years; evidence=0.94, semantic=0.57, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0005538,16,5.479710802,"Senior AI Engineer at Adobe with 5.9 years; evidence=0.92, semantic=0.58, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0011162,17,5.474047453,"Recommendation Systems Engineer at upGrad with 5.8 years; evidence=0.94, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0006418,18,5.471996998,"Machine Learning Engineer at Verloop.io with 5.7 years; evidence=0.94, semantic=0.43, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0061257,19,5.459710726,"Staff Machine Learning Engineer at LinkedIn with 8.0 years; evidence=0.93, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0010685,20,5.455393558,"NLP Engineer at Rephrase.ai with 6.7 years; evidence=0.95, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0045250,21,5.453055186,"Applied ML Engineer at Rephrase.ai with 6.6 years; evidence=0.94, semantic=0.45, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0074225,22,5.442512573,"Machine Learning Engineer at Unacademy with 4.3 years; evidence=0.94, semantic=0.50, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0084819,23,5.425533468,"Search Engineer at Dream11 with 4.5 years; evidence=0.94, semantic=0.57, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0052328,24,5.403126299,"Recommendation Systems Engineer at Amazon with 6.5 years; evidence=0.92, semantic=0.50, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0028793,25,5.399847405,"Search Engineer at Google with 7.2 years; evidence=0.94, semantic=0.59, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0079387,26,5.398006512,"AI Engineer at Microsoft with 6.9 years; evidence=0.92, semantic=0.55, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0037944,27,5.396800967,"Senior Data Scientist at Vedantu with 4.9 years; evidence=0.94, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0076831,28,5.389606256,"Search Engineer at Krutrim with 4.0 years; evidence=0.94, semantic=0.44, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0080766,29,5.387720087,"Staff Machine Learning Engineer at Salesforce with 8.8 years; evidence=0.95, semantic=0.49, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0081852,30,5.387359625,"Senior Data Scientist at Mad Street Den with 5.9 years; evidence=0.92, semantic=0.42, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0010770,31,5.374044785,"Recommendation Systems Engineer at Aganitha with 15.2 years; evidence=0.91, semantic=0.65, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0083307,32,5.357608684,"Search Engineer at CRED with 7.8 years; evidence=0.94, semantic=0.58, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0065195,33,5.355412173,"Search Engineer at CRED with 5.1 years; evidence=0.92, semantic=0.43, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0053695,34,5.346261173,"Recommendation Systems Engineer at Meesho with 5.8 years; evidence=0.91, semantic=0.64, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0039838,35,5.340825935,"Recommendation Systems Engineer at Amazon with 4.9 years; evidence=0.94, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0053591,36,5.331766133,"AI Engineer at Ola with 5.3 years; evidence=0.94, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0000031,37,5.324669305,"Recommendation Systems Engineer at Swiggy with 6.0 years; evidence=0.90, semantic=0.57, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0083879,38,5.323543530,"Machine Learning Engineer at Ola with 7.1 years; evidence=0.94, semantic=0.39, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0031593,39,5.321512395,"Search Engineer at Genpact AI with 7.8 years; evidence=0.94, semantic=0.58, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0039521,40,5.315949830,"Search Engineer at Salesforce with 3.0 years; evidence=0.94, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0087364,41,5.310479703,"Recommendation Systems Engineer at Glance with 4.9 years; evidence=0.94, semantic=0.51, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0037980,42,5.294575993,"Senior Applied Scientist at Niramai with 9.0 years; evidence=0.90, semantic=0.55, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0060054,43,5.282102490,"AI Engineer at Mad Street Den with 6.4 years; evidence=0.92, semantic=0.56, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0096142,44,5.270679479,"Applied ML Engineer at upGrad with 5.0 years; evidence=0.91, semantic=0.57, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0058575,45,5.258599103,"AI Engineer at Krutrim with 5.8 years; evidence=0.92, semantic=0.61, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0056881,46,5.254404236,"Machine Learning Engineer at Zomato with 4.5 years; evidence=0.94, semantic=0.38, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
