candidate_id,final_rank,mean_score,score_range,best_rank,worst_rank,rank_range,summary_archetype,fine_static_atom,current_title,current_company,integrity_risk_level,honeypot_proxy_rules,overlay_rules_fired,career_compounds,skill_signals,rank_conservative,rank_senior_heavy,rank_applied_ml_friendly,rank_generic_tail_friendly,rank_behavior_medium,rank_mutation_uncertain
CAND_0088025,1,7.897114,0.548,1,2,1,senior_explicit_ai,fine_atom_01,Staff Machine Learning Engineer,Yellow.ai,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,1,1,1,1,2,1
CAND_0039754,2,7.85395,0.495125,1,2,1,senior_explicit_ai,fine_atom_01,Senior Applied Scientist,Meta,low,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,2,2,2,2,1,2
CAND_0006567,3,7.800841,0.42425,3,5,2,senior_plain_language,fine_atom_05,Senior AI Engineer,Meta,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search,3,3,3,5,3,3
CAND_0037980,4,7.776792,0.48725,3,4,1,senior_plain_language,fine_atom_05,Senior Applied Scientist,Niramai,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search,4,4,4,3,4,4
CAND_0081846,5,7.714749,0.548,4,6,2,senior_explicit_ai,fine_atom_04,Lead AI Engineer,Razorpay,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,6,5,5,4,6,6
CAND_0008425,6,7.689447,0.548,6,8,2,senior_explicit_ai,fine_atom_10,Senior NLP Engineer,Ola,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,8,7,6,6,8,8
CAND_0086022,7,7.682724,0.548,6,11,5,senior_explicit_ai,fine_atom_04,Senior Applied Scientist,Sarvam AI,low,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,9,6,8,7,11,9
CAND_0005538,8,7.678483,0.416375,5,14,9,senior_plain_language,fine_atom_05,Senior AI Engineer,Adobe,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,llm_finetuning;ml_depth;python_engineering;retrieval_search,5,9,7,14,7,5
CAND_0068351,9,7.668208,0.522,7,14,7,senior_plain_language,fine_atom_05,Lead AI Engineer,Sarvam AI,none,,,evaluated_ranking_system,llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,7,14,9,8,12,7
CAND_0030468,10,7.654521,0.463625,9,12,3,senior_plain_language,fine_atom_05,Senior Applied Scientist,Swiggy,low,,,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,10,12,11,12,9,10
CAND_0005260,11,7.651217,0.48725,8,14,6,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Netflix,low,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search,12,8,12,11,14,12
CAND_0080766,12,7.651044,0.495125,10,13,3,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,Salesforce,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,11,10,10,10,13,11
CAND_0046525,13,7.648449,0.454625,5,15,10,senior_explicit_ai,fine_atom_11,Senior Machine Learning Engineer,Genpact AI,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;ml_depth;retrieval_search;vector_hybrid_infrastructure,13,13,13,15,5,13
CAND_0046064,14,7.630743,0.495125,10,15,5,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Salesforce,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,14,11,15,13,10,14
CAND_0094759,15,7.593741,0.548,9,16,7,senior_explicit_ai,fine_atom_01,Lead AI Engineer,Meta,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,15,15,14,9,16,15
