final_rank,candidate_id,mean_score,assessment_group,assessment_score_raw,assessment_score_normalized,assessment_signal_scores,frozen_top100_rank,absolute_top100_rank,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
1,CAND_0088025,8.114614,senior_pooled,0.36465,0.3,llm_finetuning:87.1;vector_hybrid_infrastructure:93.6,1,1,senior_explicit_ai,fine_atom_01,Staff Machine Learning Engineer,Yellow.ai,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Elasticsearch;Flask;Hugging Face Transformers;LLMs;Learning to Rank;LoRA;MLOps;NLP;Pinecone;Prompt Engineering;Python;QLoRA;RAG;SAP;TensorFlow;YOLO;pgvector,none,
2,CAND_0086022,7.900224,senior_pooled,0.5,0.3,ml_depth:79.9;ranking_recommendation_matching:79.3;retrieval_search:92.7;vector_hybrid_infrastructure:92.7,7,4,senior_explicit_ai,fine_atom_04,Senior Applied Scientist,Sarvam AI,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Databricks;Deep Learning;ETL;Elasticsearch;Embeddings;Fine-tuning LLMs;Kubeflow;LangChain;LoRA;MLflow;NLP;Pinecone;PyTorch;QLoRA;Recommendation Systems;Sentence Transformers;TensorFlow;Vector Search;pgvector,low,
3,CAND_0030468,7.872021,senior_pooled,0.5,0.3,embeddings:97;ml_depth:97;retrieval_search:80.5,10,5,senior_plain_language,fine_atom_05,Senior Applied Scientist,Swiggy,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Computer Vision;Content Matching;Diffusion Models;Information Retrieval Systems;Machine Learning;Milvus;Model Adaptation;OpenSearch;Ranking Systems;Recommendation Systems;Search & Discovery;TensorFlow;Text Encoders,low,
4,CAND_0005538,7.823963,senior_pooled,0.209025,0.200661,embeddings:92.9,8,8,senior_plain_language,fine_atom_05,Senior AI Engineer,Adobe,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Apache Flink;Content Matching;Data Science;Deep Learning;Feature Engineering;Haystack;Information Retrieval Systems;LoRA;Natural Language Processing;Project Management;PyTorch;Python;QLoRA;Statistical Modeling;TTS;Vector Representations;Workflow Orchestration;pgvector,none,
5,CAND_0039754,7.797942,senior_pooled,0.323,-0.077252,llm_finetuning:96.5;ml_depth:80.5;vector_hybrid_infrastructure:61.5,2,3,senior_explicit_ai,fine_atom_01,Senior Applied Scientist,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;CI/CD;Deep Learning;Elasticsearch;Fine-tuning LLMs;Kubeflow;LLMs;LlamaIndex;Machine Learning;NLP;OpenSearch;Python;Qdrant;Reinforcement Learning;Speech Recognition;Statistical Modeling;TensorFlow;Weaviate;pgvector,low,
6,CAND_0080766,7.717762,senior_pooled,0.21125,0.092025,vector_hybrid_infrastructure:84.5,12,10,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,Salesforce,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Computer Vision;Deep Learning;Elasticsearch;Information Retrieval Systems;LoRA;MLOps;MLflow;Milvus;Natural Language Processing;Open-source ML libraries;OpenSearch;Python;QLoRA;Search & Discovery;Search Backend;Search Infrastructure;Tally;TensorFlow;Vue.js;YOLO,none,
7,CAND_0006567,7.692091,senior_pooled,0.420175,-0.15,embeddings:64.4;llm_finetuning:88.7;python_engineering:89.9;vector_hybrid_infrastructure:63,3,2,senior_plain_language,fine_atom_05,Senior AI Engineer,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Content Matching;Data Science;Feature Engineering;GANs;Haystack;Kubernetes;Model Adaptation;NLP;Prompt Engineering;Python;Ranking Systems;Recommendation Systems;Search & Discovery;Search Backend;Speech Recognition;Text Encoders;Vector Representations;Workflow Orchestration;scikit-learn,none,
8,CAND_0008425,7.68135,senior_pooled,0.1602,-0.011168,ranking_recommendation_matching:77.8,6,9,senior_explicit_ai,fine_atom_10,Senior NLP Engineer,Ola,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Haystack;Hugging Face Transformers;Image Classification;Information Retrieval;Learning to Rank;LoRA;NLP;Object Detection;Prompt Engineering;Python;Qdrant;Recommendation Systems;Semantic Search;Sentence Transformers;TensorFlow;Weights & Biases;pgvector,none,
9,CAND_0068351,7.668208,senior_pooled,0.0,0.0,,9,13,senior_plain_language,fine_atom_05,Lead AI Engineer,Sarvam AI,evaluated_ranking_system,Deep Learning;Elasticsearch;Feature Engineering;GANs;Haystack;Information Retrieval Systems;LoRA;Machine Learning;NLP;Open-source ML libraries;PEFT;Python;Qdrant;Ranking Systems;Redis;Search Backend;Spring Boot;Text Encoders;pgvector,none,
10,CAND_0037980,7.668042,senior_pooled,0.328,-0.15,llm_finetuning:74;retrieval_search:72.2;vector_hybrid_infrastructure:72.2,4,6,senior_plain_language,fine_atom_05,Senior Applied Scientist,Niramai,end_to_end_intelligence_ownership;evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;Document Processing;Feature Engineering;Haystack;Indexing Algorithms;Information Retrieval Systems;LoRA;Model Adaptation;NLP;OpenCV;Prompt Engineering;PyTorch;QLoRA;Recommendation Systems;Search Infrastructure;TTS;Text Encoders;Weights & Biases;pgvector;scikit-learn,none,
11,CAND_0005260,7.651217,senior_pooled,0.0,0.0,,11,16,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Netflix,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Embeddings;Haystack;Hugging Face Transformers;Information Retrieval;Kubeflow;LoRA;MLOps;MLflow;NLP;Prompt Engineering;Python;RAG;Semantic Search;Snowflake;Speech Recognition;Statistical Modeling;pgvector,low,
