candidate_id,rank,score,reasoning
CAND_0006567,1,100.000000,"The candidate has strong experience in building and overhauling ranking and retrieval systems at scale, as demonstrated by their work at Meta and Razorpay. A material concern is their less detailed NLP and LLM expertise compared to their retrieval focus."
CAND_0039754,2,99.731544,"Candidate has directly rebuilt a candidate-JD matching pipeline at Meta, achieving a 0.72→0.91 NDCG@10 improvement on 50M+ queries/month, aligning with Senior AI Engineer responsibilities. A concern is the discrepancy between the profile's 16.2 years of experience and the career history indicating ~8.1 years of experience."
CAND_0041669,3,99.597315,"The candidate has strong experience in building and optimizing ranking systems, demonstrated by their work evolving a hand-tuned scoring function to a learning-to-rank model, improving revenue-per-search by 12%. A material concern is that their NLP and LLM-related skills are not as deeply detailed as their retrieval and ranking work."
CAND_0061257,4,99.463087,"The candidate has extensive experience designing ranking and retrieval systems at LinkedIn and Yellow.ai, aligning strongly with the Senior AI Engineer role. A material concern is their limited focus on NLP and LLM-specific skills."
CAND_0068811,5,99.060403,"The candidate has strong production experience in building and deploying ML systems, particularly in retrieval and recommendation systems, with measurable product impact. A concern is the lack of explicit mention of A/B testing for the Freshworks recommendation system, despite infrastructure development."
CAND_0039383,6,98.657718,"The candidate has strong experience in building production-grade ranking models and semantic search systems, with expertise in FAISS, Hugging Face Transformers, and vector search—key for Senior AI Engineer roles. A material concern is the less detailed focus on NLP and LLM-specific skills compared to retrieval and ranking."
CAND_0037980,7,98.265772,"The candidate has extensive experience designing ranking and retrieval systems at scale, with end-to-end ownership of data pipelines, evaluation frameworks, and production operational discipline. A material concern is the lack of detailed NLP and LLM expertise compared to retrieval systems."
CAND_0046525,8,98.255034,"The candidate has strong production experience in building hybrid retrieval systems and optimizing search/ranking pipelines, aligning well with the Senior AI Engineer role. A material concern is the limited depth in NLP and LLM-specific skills compared to retrieval expertise."
CAND_0077337,9,97.728859,"The candidate has extensive experience in building hybrid retrieval systems, including a hybrid BM25 and dense vector system at Razorpay that improved NDCG@10 by 18%. A concern is the identical job description for Aganitha and Glance, which may indicate data integrity issues."
CAND_0007009,10,97.594631,"The candidate's extensive experience in building RAG-based systems, retrieval, and evaluation frameworks directly aligns with the Senior AI Engineer role. However, the near-identical job descriptions for Wysa and PolicyBazaar may indicate data integrity concerns."
CAND_0005260,11,97.326174,"The candidate's experience in building RAG-based ranking pipelines, hybrid retrieval architectures, and deploying low-latency ML systems aligns strongly with the Senior AI Engineer role. A concern is their current non-open-to-work status, which may delay hiring timelines."
CAND_0028793,12,97.191946,"The candidate's experience in building RAG-based systems, semantic search, and evaluation frameworks aligns strongly with the Senior AI Engineer role. A concern is the lack of detailed NLP/LLM expertise beyond retrieval systems."
CAND_0080766,13,96.923490,"The candidate has extensive experience in building ranking and retrieval systems, as demonstrated by their work at Swiggy, Aganitha, and Salesforce, aligning closely with the Senior AI Engineer role. A material concern is their current non-open-to-work status, which may affect hiring timelines."
CAND_0086022,14,96.789262,"At Sarvam AI, led the design of a RAG-based ranking pipeline with BM25 + dense retrieval (BGE embeddings, FAISS HNSW) and an LLM-based re-ranker, serving 50M+ queries/month. Concern: Location is Kolkata (not a preferred location), though the candidate is willing to relocate."
CAND_0062247,15,96.520805,Candidate's experience in migrating search systems from keyword-based to embedding-based retrieval and their expertise in vector search and learning-to-rank models strongly align with the Senior AI Engineer role. A concern is the lack of explicit mention of A/B testing or online evaluation metrics in their career history.
CAND_0010257,16,95.704698,"Candidate has strong production experience in building and deploying ML systems, including embedding-based retrieval and recommendation systems, aligning with Senior AI Engineer requirements. A concern is the lack of explicit mention of vector search or hybrid retrieval systems in the Google role description."
CAND_0093193,17,95.446980,"The candidate has strong experience in building and shipping ranking and retrieval systems, as demonstrated by their work at Netflix and Niramai. A concern is their current industry focus in HealthTech AI, which may not fully align with the role's expectations."
CAND_0081846,18,94.786577,"The candidate's experience in building high-impact retrieval and ranking systems, including a 0.72→0.91 NDCG@10 improvement at Razorpay and a 18% NDCG@10 boost at Paytm, strongly aligns with the Senior AI Engineer role. A concern is the candidate's current location in Jaipur, which may not be a preferred location."
