candidate_id,rank,score,reasoning
CAND_0068811,1,6.291224182,"Applied ML Engineer at Freshworks with 8.0 years; evidence=0.98, semantic=0.67, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0005649,2,6.167525831,"Senior Data Scientist at Sarvam AI with 7.4 years; evidence=0.98, semantic=0.67, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0030468,3,6.105658899,"Senior Applied Scientist at Swiggy with 5.4 years; evidence=0.94, semantic=0.76, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0010257,4,6.090026983,"Senior Data Scientist at Google with 6.5 years; evidence=0.95, semantic=0.75, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0077337,5,6.084996598,"Staff Machine Learning Engineer at Paytm with 7.0 years; evidence=0.98, semantic=0.67, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0006567,6,6.015043013,"Senior AI Engineer at Meta with 7.9 years; evidence=0.91, semantic=0.83, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0068351,7,5.995277615,"Lead AI Engineer at Sarvam AI with 6.4 years; evidence=0.93, semantic=0.68, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0008425,8,5.978893269,"Senior NLP Engineer at Ola with 7.8 years; evidence=0.96, semantic=0.59, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0005538,9,5.946460357,"Senior AI Engineer at Adobe with 5.9 years; evidence=0.92, semantic=0.75, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0042029,10,5.946316806,"Senior Data Scientist at Flipkart with 6.5 years; evidence=0.94, semantic=0.61, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0046064,11,5.946035428,"Senior NLP Engineer at Salesforce with 8.9 years; evidence=0.96, semantic=0.57, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0041669,12,5.945338965,"Recommendation Systems Engineer at CRED with 8.0 years; evidence=0.94, semantic=0.68, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0030031,13,5.894887464,"AI Engineer at Microsoft with 5.7 years; evidence=0.95, semantic=0.75, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0044883,14,5.890100819,"AI Engineer at Mad Street Den with 6.3 years; evidence=0.98, semantic=0.67, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0006418,15,5.848004045,"Machine Learning Engineer at Verloop.io with 5.7 years; evidence=0.94, semantic=0.61, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0039754,16,5.838598946,"Senior Applied Scientist at Meta with 16.2 years; evidence=0.94, semantic=0.63, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0088025,17,5.826850219,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years; evidence=0.94, semantic=0.60, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0045250,18,5.819795437,"Applied ML Engineer at Rephrase.ai with 6.6 years; evidence=0.94, semantic=0.61, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0081852,19,5.815150408,"Senior Data Scientist at Mad Street Den with 5.9 years; evidence=0.92, semantic=0.53, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0011162,20,5.812708631,"Recommendation Systems Engineer at upGrad with 5.8 years; evidence=0.94, semantic=0.64, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
